mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.13540053367614746,0.01247895648316279,0.026201725006103516,0.0028645014002046157,4,10,,"{'max_features': 4, 'n_estimators': 10}",0.9628614916286149,0.9646879756468798,0.9677321156773212,0.9719939117199391,0.9674177831912302,0.966938655572797,0.0031017279984582842,11,0.9828754090874495,0.9837126113098409,0.9812771139356116,0.9814293325215009,0.9821917808219178,0.9822972495352641,0.0009102304823141685
0.18460426330566407,0.015795727884354217,0.032989883422851564,0.005389362824910641,4,15,,"{'max_features': 4, 'n_estimators': 15}",0.9616438356164384,0.9649923896499238,0.974124809741248,0.974124809741248,0.9698538367844093,0.9689479363066535,0.004968237696358446,4,0.9829515183803943,0.9842453763604536,0.9818098789862242,0.9818859882791688,0.9821156773211568,0.9826016878654796,0.000916459132311037
0.3297712802886963,0.027100231202719517,0.04223575592041016,0.0017145340003247994,4,30,,"{'max_features': 4, 'n_estimators': 30}",0.963165905631659,0.9677321156773212,0.9707762557077626,0.9753424657534246,0.9704628501827041,0.9694959185905743,0.003998409642389765,1,0.9831798462592283,0.984169267067509,0.9818859882791688,0.9821143161580029,0.9824200913242009,0.9827539018176221,0.0008316803027199215
0.12239627838134766,0.00520352096348891,0.023199033737182618,0.0013297515468206423,5,10,,"{'max_features': 5, 'n_estimators': 10}",0.9610350076103501,0.9643835616438357,0.9701674277016743,0.9719939117199391,0.9704628501827041,0.9676085517717006,0.004184215374134597,8,0.9826470812086155,0.9833320648451176,0.9810487860567775,0.9814293325215009,0.9818112633181126,0.9820537055900248,0.0008300337658227246
0.18639559745788575,0.010053755134905527,0.02720532417297363,0.0007463401612182762,5,15,,"{'max_features': 5, 'n_estimators': 15}",0.963165905631659,0.9628614916286149,0.969558599695586,0.973820395738204,0.9668087697929354,0.9672430324973998,0.004114195100173651,10,0.9828754090874495,0.9838648298957303,0.9816576604003349,0.9818098789862242,0.9822678843226789,0.9824951325384834,0.0008053887097281763
0.33121418952941895,0.007038306085750778,0.040801620483398436,0.0014838710810830792,5,30,,"{'max_features': 5, 'n_estimators': 30}",0.9628614916286149,0.9677321156773212,0.9735159817351599,0.9735159817351599,0.9692448233861145,0.9693740788324741,0.0039859067066783495,2,0.9831798462592283,0.9840931577745643,0.9818098789862242,0.9821904254509476,0.9824200913242009,0.9827386799590331,0.0008116638255047663
0.12816996574401857,0.0054409936431637496,0.022400712966918944,0.0008161124812359159,6,10,,"{'max_features': 6, 'n_estimators': 10}",0.9634703196347032,0.9656012176560121,0.9707762557077626,0.9747336377473363,0.9692448233861145,0.9687652508263858,0.003948244550151819,5,0.9829515183803943,0.9834842834310069,0.9809726767638328,0.9812771139356116,0.9818112633181126,0.9820993711657916,0.0009667150787674452
0.20102434158325194,0.014248428368548376,0.029782676696777345,0.00512316571487224,6,15,,"{'max_features': 6, 'n_estimators': 15}",0.9613394216133943,0.9643835616438357,0.9689497716894977,0.9729071537290715,0.9698538367844093,0.9674867490920416,0.004112024639070083,9,0.983027627673339,0.9835603927239516,0.9815815511073902,0.9820382068650583,0.9821156773211568,0.9824646911381791,0.0007212621300686439
0.3629796028137207,0.03317536495165841,0.0410245418548584,0.0009004326368781906,6,30,,"{'max_features': 6, 'n_estimators': 30}",0.9625570776255707,0.9634703196347032,0.9726027397260274,0.973820395738204,0.9674177831912302,0.967973663183147,0.0045943690751500685,7,0.9831798462592283,0.9840931577745643,0.9819620975721135,0.9822665347438923,0.9824200913242009,0.9827843455347999,0.000767634178400347
0.1329949378967285,0.008047891672011228,0.023813247680664062,0.003185303193215835,8,10,,"{'max_features': 8, 'n_estimators': 10}",0.9613394216133943,0.9656012176560121,0.9719939117199391,0.9726027397260274,0.9686358099878197,0.9680346201406385,0.00418693841750956,6,0.9827231905015602,0.9828754090874495,0.9812771139356116,0.9818098789862242,0.9818873668188737,0.9821145918659437,0.000599180371622844
0.2359910011291504,0.05151160009942999,0.033206844329833986,0.007672048257536445,8,15,,"{'max_features': 8, 'n_estimators': 15}",0.9601217656012176,0.9637747336377473,0.9689497716894977,0.9732115677321157,0.965590742996346,0.9663297163313848,0.004468495030861871,14,0.983027627673339,0.9837887206027855,0.9816576604003349,0.9820382068650583,0.9821156773211568,0.982525578572535,0.0007754241753993706
0.4007880687713623,0.053424846077977144,0.042015361785888675,0.0025681477029670338,8,30,,"{'max_features': 8, 'n_estimators': 30}",0.9619482496194824,0.965296803652968,0.9732115677321157,0.9753424657534246,0.9698538367844093,0.96913058470848,0.004940623374298626,3,0.9831037369662836,0.983940939188675,0.9819620975721135,0.9821904254509476,0.982496194824962,0.9827386788005963,0.0007129033768120883
0.39580349922180175,0.010265588689388072,0.022591400146484374,0.0017468948482691877,40,10,False,"{'bootstrap': False, 'max_features': 40, 'n_estimators': 10}",0.9579908675799087,0.9643835616438357,0.9671232876712329,0.974124809741248,0.968026796589525,0.9663298646451499,0.005245898104240492,13,0.9832559555521729,0.9842453763604536,0.9819620975721135,0.9822665347438923,0.982572298325723,0.9828604525108711,0.000814524335936395
